Name,Alias_HCP,Alias_ADNI
Bank of the Superior Temporal Sulcus,Bankssts,Bankssts
Caudal Anterior-cingulate Cortex,Caudalanteriorcingulate,CaudalAnteriorCingulate
Caudal Middle Frontal Gyrus,Caudalmiddlefrontal,CaudalMiddleFrontal
Unmeasured Corpus Callosum,Corpuscallosum,CorpusCallosum
Cuneus Cortex,Cuneus,Cuneus
Entorhinal Cortex,Entorhinal,Entorhinal
Fusiform Gyrus,Fusiform,Fusiform
Inferior Parietal Cortex,Inferiorparietal,InferiorParietal
Inferior Temporal Gyrus,Inferiortemporal,InferiorTemporal
Isthmus-cingulate Cortex,Isthmuscingulate,IsthmusCingulate
Lateral occipital cortex,Lateraloccipital,LateralOccipital
Lateral orbital frontal cortex,Lateralorbitofrontal,LateralOrbitofrontal
Lingual Gyrus,Lingual,Lingual
Medial orbital frontal cortex,Medialorbitofrontal,MedialOrbitofrontal
Middle temporal gyrus,Middletemporal,MiddleTemporal
Parahippocampal gyrus,Parahippocampal,Parahippocampal
Paracentral lobule,Paracentral,Paracentral
Pars opercularis,Parsopercularis,ParsOpercularis
Pars orbitalis,Parsorbitalis,ParsOrbitalis
Pars triangularis,Parstriangularis,ParsTriangularis
Pericalcarine cortex,Pericalcarine,Pericalcarine
Postcentral gyrus,Postcentral,Postcentral
Posterior-cingulate cortex,Posteriorcingulate,PosteriorCingulate
Precentral gyrus,Precentral,Precentral
Precuneus cortex,Precuneus,Precuneus
Rostral anterior cingulate cortex,Rostralanteriorcingulate,RostralAnteriorCingulate
Rostral middle frontal gyrus,Rostralmiddlefrontal,RostralMiddleFrontal
Superior frontal gyrus,Superiorfrontal,SuperiorFrontal
Superior parietal cortex,Superiorparietal,SuperiorParietal
Superior temporal gyrus,Superiortemporal,SuperiorTemporal
Supramarginal gyrus,Supramarginal,Supramarginal
Frontal pole,Frontalpole,FrontalPole
Temporal pole,Temporalpole,TemporalPole
Transverse temporal cortex,Transversetemporal,TransverseTemporal
Insula cortex,Insula,Insula
