word,definition,translation
x,n. the 24th letter of the Roman alphabet,"n. 未知数\n[计] 交换, 变址, 索引, 传输"
X - Factor,,X因素（美国一档选秀节目）
x and z demodulation,,[电] X和Z解调
x bodies,,"[医] 普利默氏体, 杆状巴尔通氏体"
X chromosome,,n. [生]X染色体(性染色体的一种)
X direction,,[计] 横轴方向
x disease,,[医] X病
X factor,,n. 未知因素
x fever,,"[医] X病(原因未知病,牲畜皮肤角化症,黄曲霉中毒)"
X format code,,[计] X格式代码
X gonna give it to ya,"Something that X give's to you. Dont know what it is but he gives it to you in a black man style, BY YELLING!!!\n> X Gonna Give It To YA!!!!\n",
X particle,,"n. 粒子, 介子"
x play,"A show that dates back to the orgins of zdtv when it was called Extended Play. It has managed to survive many years all the way from zdtv, techtv, and now G4techtv. With long time host Adam Sessler who has had two co-host to this point. The first Kate Botello, and now [Morgan Webb].\r\nThe show is a mix of humor (mostly campy gags and over the top line reading) and gaming reviews, previews, interviews, etc.\n> Although x play can be irritating it can be quitean enjoyable show as well.\n",
x punch,,[电] X打孔
X ray,,"X射线, X光, X光照片"
x rays,,"[医] X[射]线, 伦琴[射]线"
x reader,"A genre of [fanfiction] where the reader is the main character, and all events are described in vivid detail as happening to him/her. Usually used for [lemon] fics but is not limited to such. Usually involves sexual interactions between the reader and a character of the author's choice (Character usually being a popular dreamboat male character).\n\nMost of these fanfics are found on deviantart, mostly for female audiences, sometimes appealing to male audiences, either straight or gay.\n> I recently read a story from creepypasta called ""Jeff the Killer"". It was a great story, so I asked my friend if she knew anymore Jeff stories, and she sent me a Jeff x reader fic. I'm never gonna take her advice on reading ever again.\n",
X Remote,,[计] X Remote协议
X thorium,,[医] 钍X
X to the Z,tha rapper Xzibit,
X tubes,,[医] X形管
X Window,,[计] X Window窗口软件
X Windows Protocol,,[计] X Windows协议
X Y is X,"an ""algebraic format that *channers use to express their feelings towards something"".\n> X Y is X:\n> Longcat is long.\n> Obvious troll is obvious\n> Wise beard man is wise\n",
X zone,,"[医] X线, 雄激素带(胚)"
x'mas,,n. 〈非正式〉圣诞节\n[网络] 圣诞气氛；圣诞节气球；圣诞节系列
X's and O's,,[网络] X和O的
x),"A kind of mischevious.. looking.. smiley.. See the sinister kind of plotting smirk!? Can't you see it?\n> Me: This should be a good RP.. x)\n> Other: Oh god, what are you plotting?\n> Me: ..nooothinnnggg... x)\n",
"X,2-distribution",,"[化] χ, 2分布"
"X,2-test",,"[化] χ, 2检验; 卡方检验"
X-address,,[计] X地址
x-axis,n. the horizontal axis in a plane coordinate system,"n. 轴, 横坐标轴\n[计] X轴, 横坐标"
x-band,,[电] X波段
x-bar,,[电] X棒
X-Bomb,"A completely spontaneous urge to shit that has no ""holding"" potential.  You feel it, and you have literally seconds to find somewhere to put it.  The actual shit is usually more gaseous and wet than solid doo-doo, and typically explosive.  (The term can be used as both a verb and a noun.)\n> verb: That Thai food was fantastic, but it made me X-Bomb nine times the next day.\n> noun: I had 12 seconds to find a toilet to release my X-Bomb into, and I couldn't find one.  Now I need to change all my clothes.\n",
x-c,,abbr. X-chromosome X染色体
x-cell,,n. 伊势亚（手机品牌）
x-cells,plural of x-cell,(x-cell 的复数) n. 伊势亚（手机品牌）
x-chromosome,, [医]x染色体，性染色体
X-component,,[计] X分量
X-components,plural of X-component,(X-component 的复数) [计] X分量
X-control chart,,[化] 平均值控制图
X-coordinate,,[计] X坐标
x-direction,, [医]X轴方向
X-disease,,"n. [兽医]角化过度, 表皮角化病"
x-element,,[医] X成分(染色体团)
x-factor,, [医][=hemin]x因子，氯化高铁血红素
x-files,, X档案
X-film,,n. (英)限制性电影
x-frame,, 交叉形架
x-gram,,[医] X线[照]片
x-height,,n. X坐标
x-high,,a. 高度与小写x相等的
X-intercept,,[计] X截距
X-irradiate,,v. 以X光照射
x-irradiation,, [医]X线辐照
X-Japan,,无限日本（乐队）
x-knee,,"[医] 叉形膝, 膝外翻"
x-leg,,"[医] 叉形腿, 膝外翻"
x-line,, [计]X-轴线
x-linked,a relating to genes or characteristics or conditions carried on the X chromosome," [医]伴性的, 伴X染色体的, 性连锁的"
X-linked dominant inheritance,,[网络] 伴X染色体显性遗传；X连锁显性遗传；X连锁显性遗传病
X-linked gene,,[网络] X连基因
X-linked recessive inheritance,,[网络] 性染色体隐性遗传；X连锁隐性遗传；伴性隐性遗传
X-linked SCID,,[网络] 性联重症联合免疫缺陷病
x-man,, X战警
x-mas,, [医][=Christmas(factor)]克里斯特马斯（因子），抗血友病因子B
x-men,, [电影]X战警
X-OR circuit,,[网络] X-OR电路
X-pac heat,Genuine dislike for a person rather than the character he is portraying.\n> No one wants X-pac Heat\n,
X-parameter,,[化] χ参数
X-particle,,[医] X-粒子
X-Phile,"A person who is a huge fan of the hit tv show ""The X Files"". Normally they will apply ever aspect of the show to everyday life. Can often be found making music videos to the show, writing fan fiction or creating digital art or manipulations with the shows main characters, Mulder and Scully. A true x phile should be able to quote every significant event throughout the 9 year run of the show. Possibly the only people to ever understand the complex conspiracy that just got more confusing as time went on.\r\n\r\nCan be found anxiously anticipating the next x files movie. \r\n""It will happen, I know it will!""\n> A typical x phile would be able to say any of these at least once every day and incorporate them into otherwise unrelated conversation.\n> ""That was like that time in that episode in Season 3 when Mulder asked Scully to...""\n> ""That's why they put the 'i' in FBI!""\n> ""This must be conspiracy""\n> ""Oo! I feel like I'm stuck in an X File""\n> Endlessly singing the Catatonia hit: ""Things are getting strange I'm starting to worry. This could be a case for Mulder and Scully!""\n> Whilst watching TV: ""That guy was once on the x files in an episode where Scully and Mulder....""\n> ""Trust no one""\n> And of course: ""The truth is out there!""\n",
X-radiation,n electromagnetic radiation of short wavelength produced when high-speed electrons strike a solid target\nn obtaining images by the use of X rays,"n. X射线, X射线辐射\n[化] X辐射"
x-radiography,, X射线照相术
X-Raided,"Notorious gangsta rapper X-Raided was born Anarae Jones in Waco, TX, and raised primarily in Sacramento, CA. Shortly after releasing his 1992 debut LP Psycho Active, he was convicted on murder charges -- in fact, the album's violent lyrics were even cited as evidence at the trial. While languishing in prison, X-Raided managed to record another album entirely over the telephone, a painstaking process eventually yielding 1995's Xorcist. Unforgiven followed four years later and Initiation was issued in early 2001.\r\n\r\n-Jason Ankeny (www.allmusic.com)\n> ""Im that gangsta you answer to\n> when i say bitch jump then thats what you do\n> im a fast talkin' convict blowin' ya' mind\n> im workin' macaframalama even if im in the slamma'""\n",
X-rated,,"a. (美)禁止儿童观看的, 限制性的"
