word,definition,translation
Y,n. the 25th letter of the Roman alphabet,[计] 原型\n[医] 钇(39号元素)
Y angle,,[医] Y字角(头颅)
y antenna,,[电] Y形天线
y axis,,[电] Y轴
Y bandage,,[医] Y字带
y bar,,[电] Y棒
Y cartilages,,[医] Y形软骨(髋臼)
Y channel,,[计] Y信道
Y chromosome,,n. Y染色体\n[医] Y染色体
y connected circuit,,[电] 星形连接电路
Y connection,,"[计] Y形接线, 星形接线"
Y level," See under Y, n.","回转水准仪, Y式水准仪"
Y ligaments,,[医] 髂股韧带
Y operator,,[计] Y算子
y parameter,,[电] Y参数
Y position,,[计] Y位置
Y punch,,"[计] 12行穿孔, Y穿孔, 正数穿孔"
Y select input,,[计] Y选择输入
Y signal,,"[计] Y信号, 亮度信号"
Y status register,,[计] y状态寄存器
Y tubes,,[医] Y形管
y voltage,,[电] Y形电压
y wave,,[电] Y波动
y'all,,"n. 相当于“You all“, 美国南部使用, 意思是“大家”"
y-," Alt. of I-\n A prefix of obscure meaning, originally used with verbs, adverbs,\n   adjectives, nouns, and pronouns. In the Middle English period, it was\n   little employed except with verbs, being chiefly used with past\n   participles, though occasionally with the infinitive Ycleped, or\n   yclept, is perhaps the only word not entirely obsolete which shows this\n   use.",[字首]表过去分词之义
Y-address,,[计] Y地址
y-axes,,n. Y轴，纵坐标轴( y-axis的名词复数 )
y-axis,n. the vertical axis in a plane coordinate system,"n. 轴, 纵坐标轴\n[计] Y轴, 纵坐标"
Y-bacillus,,[医] Y型杆菌
y-chromosome,, [医]y染色体，性染色体
Y-coordinate,,"n. [数]Y坐标,纵座标"
y-current,,[电] Y形电流
y-cut crystal,,[电] Y截晶体
Y-direction,,"[计] Y轴方向, 纵轴方向"
Y-directions,plural of Y-direction,"(Y-direction 的复数) [计] Y轴方向, 纵轴方向"
y-front,,"n. 男三角裤, 紧身男短裤(一般前部有Y字形缝迹)"
y-fronts,plural of y-front,"(y-front 的复数) n. 男三角裤, 紧身男短裤(一般前部有Y字形缝迹)"
Y-gun,,n. 舰尾发射深水炸弹之装置
Y-intercept,,[计] Y截距
y-junction,,[电] Y形接头
Y-linked gene,,[网络] 伴Y基因
y-match,,[电] Y匹配
y-network,,[电] Y形网络
Y-pipe,,n. Y形管
y-shaped,s shaped in the form of the letter Y, 分叉形
y-signal,,[电] Y形讯号
Y-torque bar,,"[医] Y形支秆, Y形转矩秆"
Y-track,,"n. Y形轨道, 三叉形轨道"
Y-valve,,[化] 角阀Z
Y.,,基督教青年会
y. s.,,[医] 黄斑(视网膜)
ya,adv. Yea.,abbr. 年轻人（young adult）；偏航轴（yaw axis）
ya dig,"Usually said after a sentence, sorta like ""na mean"" or ""ya understand""\n> when i stepped in with my new jordans, someone asks me\n> ""how u get those, they aint even come out yet""\n> ""i got connections ya dig""\n",
ya mum,the answer to practically every question in the world\n> Who? Ya mum\n> Where? Ya mum\n> When? Ya mum\n> What? Ya mum\n> Why? Ya mum\n,
Ya Tan Tzu,,[医] 鸦胆子
ya-ta-ta,,n. 空洞无物的交谈
yaa,,abbr. 美国帆船驾驶员协会（Yachtsmen's Association of America）
YAAB,"pronounced ""yawb""\n\nYear And A Bit\n\na unit of time measuring one year and a maximum of 11 months.\n> Andrew: ""hey, when's your birthday?""\n> Elizabeth: ""in a YAAB.""\n",
yaakov,,n. (Yaakov)人名；(以)雅各布
yaar,," （用作友好称呼）朋友, 伙计"
yaba,,abbr. Yacht Architects and Brokers Association 游艇建筑师经纪人协会
yabber,,"n. 谈话, 说话, 急促而含混不清的话"
yabbering,,v. <澳口>谈话，闲聊( yabber的现在分词 )
yabbers,,"<澳口>谈话, 闲聊( yabber的第三人称单数 )"
yabbi,,n. 斑狼
yabbie,, 穴喇蛄
yabby,,n. 淡水螯虾
yabe,, [地名] [缅甸] 亚贝; [地名] [日本] 矢部
Yabeina,,矢部属
yabine,,药巴皮碱
yablon,, [人名] 亚布隆
yablonski,, [人名] 亚布隆斯基
yablonsky,, [人名] 亚布隆斯基
yabroff,, [人名] 亚布罗夫
yabu,, [地名] [日本] 养父
yac,,abbr. yeast artificial chromosome 酵母人工染色体
yacal,,牙卡鲁(龙脑香料乔木的木材)
yacare,"n. A South American crocodilian (Jacare sclerops) resembling\n   the alligator in size and habits. The eye orbits are connected\n   together, and surrounded by prominent bony ridges. Called also\n   spectacled alligator, and spectacled cayman.",n. [动]宽吻鳄
yacca,n West Indian evergreen with medium to long leaves,罗汉松(木材)
yacca gum,,[化] 禾木胶
yacca podocarp,,[网络] 亚卡豆荚果
yaccinostyle,,[医] 种痘针
yachats,, [地名] [美国] 亚查茨
yacht,n. an expensive vessel propelled by sail or power and used for cruising or racing\nv. travel in a yacht,"n. 快艇, 游艇\nvi. 驾游艇, 乘游艇"
yacht chair,, 折叠帆布椅
yacht club,,帆船俱乐部
yacht race,, [体]帆船比赛
yacht rope,,用软质马尼拉麻制成的优质绳
yachted,n. an expensive vessel propelled by sail or power and used for cruising or racing\nv. travel in a yacht,"n. 快艇, 游艇\nvi. 驾游艇, 乘游艇"
yachter,n. One engaged in sailing a jacht.,n. 乘快艇者
yachtie,,"n. <主澳新口>快艇(或游艇)主人,帆船运动员"
yachties,plural of yachty,"(yachty 的复数) adj.似快艇的, 适合游艇的"
yachting,n water travel for pleasure\nv travel in a yacht,"n. 驾帆船, 风帆比赛, 乘游艇航行, 驾驶快艇"
yachting cap,,[网络] 游艇帽
yachts,n an expensive vessel propelled by sail or power and used for cruising or racing\nv travel in a yacht,"n. 快艇, 帆船, 游艇( yacht的名词复数 )"
