original,anonymous
"
","
"
1.Résumé,1.Résumé
de,de
l'incident,l'incident
:,:
A,A
12h50,12h50
le,le
11/12/2023,11/12/2023
-,-
Roger,Roger
TAYLOR,TAYLOR
et,et
ARDITI,ARDITI
la,la
ont,ont
détecté,détecté
que,que
boitier,boitier
iqoya,codecaudio
ORANGE,ARQIVA
était,était
en,en
erreur.,erreur.
Cela,Cela
a,a
mise,mise
dans,dans
noir,noir
350,350
utilisateurs,utilisateurs
sur,sur
réseau,réseau
2.Chronologie,2.Chronologie
des,des
faits,faits
21h50,21h50
tests2,tests2
fin,fin
traitement,traitement
chez,chez
BOUYGUES,TWC
à,à
Marseille,saint-martial-17
12/12/2023,12/12/2023
11h59,11h59
test3,test3
qui,qui
va,va
s'arréter,s'arréter
partir,partir
03h34,03h34
paris.,paris.
test4,test4
n'a,n'a
plus,plus
d'avenir,d'avenir
vers,vers
23h34,23h34
depuis,depuis
C8,CNEWS
déposé,déposé
bilan,bilan
Brest,segry
ailleurs,ailleurs
=>,=>
CR,CR
FINAL,FINAL
Transmis,Transmis
;code,;code
cloture,cloture
=[ENT7,=[ENT7
Probl.,Probl.
place],place]
Com:,Com:
19/12/2023,19/12/2023
11h45,11h45
[Constat,[Constat
l'arrivée]='Erreur,l'arrivée]='Erreur
config,config
détectée',détectée'
décalage,décalage
séquence,séquence
démarrage,démarrage
opérations.,opérations.
La,La
reprogrammation,reprogrammation
paramètres,paramètres
permis,permis
résoudre,résoudre
problème.,problème.
!!!...,!!!...
Temps,Temps
d'arrêt,d'arrêt
30,30
minutes.,minutes.
Tests,Tests
validation,validation
OK.,OK.
ENT7:,ENT7:
100%,100%
"CPU,","CPU,"
8GB,8GB
"RAM,","RAM,"
250GB,250GB
stockage,stockage
dispo.,dispo.
Le,Le
système,système
est,est
maintenant,maintenant
opérationnel,opérationnel
stable.,stable.
=[ENT8,=[ENT8
ADM,ADM
d'accès,d'accès
aux,aux
données],données]
05/11/2022,05/11/2022
09h20,09h20
réseau',réseau'
problème,problème
d'authentification,d'authentification
avec,avec
serveur.,serveur.
réinitialisation,réinitialisation
du,du
MDP,MDP
jour,jour
connexion,connexion
Tous,Tous
les,les
peuvent,peuvent
désormais,désormais
accéder,accéder
données,données
sans,sans
