Query,Result
"Is salt unhealthy, Salt damages cells","Sometimes if you’ve been a big salt eater, salt will cause destruction of calcium in the body."
"Is salt unhealthy, Salt damages cells",Usually salt causes headache.
"Is salt unhealthy, Salt damages cells",Sodium toxicity will cause high blood pressure in the brain.
"Is salt unhealthy, Salt damages cells","That's a toxic headache, but it's mostly salt."
"Is salt unhealthy, Salt damages cells",Some people are very allergic to salt.
"Is salt unhealthy, Salt damages cells","They have a one grain of salt in a meal, that's enough to set off a migraine."
What are signs of intelligence,"All hyperactive children have potential genius, but unless they can utilize proteins or harness adrenaline, their genius may turn into antisocial behavior."
"What are signs of intelligence, What are signs of genius","And usually when the body is that active, the mind is that active too, so you’ve got a lot of geniuses there…"
"What are signs of intelligence, What are signs of genius",Cynicism is not a sign of intelligence.
"What are signs of intelligence, What are signs of genius","The Samburu tribe eats raw milk and raw meat – no degenerative disease - also considered one of the healthiest, strongest, and most intelligent tribes."
"What are signs of intelligence, What are signs of genius",The blood may have something because that one tribe is a lot more intelligent. 
"What are signs of intelligence, What are signs of genius","They’re going out finding the worst foods, saying they are organic to destroy those people who have intelligent minds. "
"What are signs of intelligence, What are signs of genius","As we have ample evidence, a large brain does not imply more common sense, intelligence or wisdom."
How to gain weight quickly ,I have the milkshake for people to gain weight fast.
How to gain weight quickly ,The milkshake is the only thing on this diet that can make you gain weight fast. 
How to gain weight quickly ,The only thing that's going to help you gain weight is milkshakes.
How to gain weight quickly ,"Milk won't help you gain weight fast, milkshakes do."
How to gain weight quickly ,If you want to gain weight you need the cream.
How to gain weight quickly ,If you want to gain weight that's when you have to get a big stomach and you have to let that bloating go on for a while.
How to gain weight quickly ,Cooked eggs you can gain weight quickly.
How to gain weight quickly ,Q: How do you gain weight if you are very thin and never could gain weight before?
How to gain weight quickly ,"Usually, Moisturizing Formulas will allow faster weight gain,"
"What is arthritis, What is arthritis caused by"," She said if there is no immune disease, then what is arthritis? 80 to 85 percent of arthritis is Crohn's disease."
"What is arthritis, What is arthritis caused by",Leaky gut causes 80% of all arthritis and rheumatism.
"What is arthritis, What is arthritis caused by","A: Tribes thatdo eat cooked meat you get gout, you get gout and you have a little arthritis and rheumatism and some bone loss from eating all that cooked meat."
"What is arthritis, What is arthritis caused by",It's like causing gout in some people and causing arthritis and rheumatism in others.
"What is arthritis, What is arthritis caused by","The tribes who eat cooked meat have gout, they have arthritis, they have a lot of joint problems, but they don't have arterial sclerosis, no heart disease."
"What is arthritis, What is arthritis caused by",Arthritis is mainly toxicity in the joints that's built up in the joints.
"What is arthritis, What is arthritis caused by","The cooked saturated fat are a problem, but they're still not as bad as what as has been the major cause of arthritis and rheumatism is margarine and hydrogenated oils."
"What is arthritis, What is arthritis caused by","Rather than curing arthritis, I think that the therapy is not a remedy but a destruction of the nerves in the joints and a loss of pain is all that is beneficially experienced."
"What is arthritis, What is arthritis caused by",I guestimate from experience that 90% of arthritis is from leaky gut.
"What does high meat do, Why eat high meat","I have two other patients who were heavily into psychotropic medication for years and years start eating the rotten high meat and stop taking medication, no depression."
"What does high meat do, Why eat high meat","All that fresh stuff, so it changes on you, if a person is depressed, give them the high meat they'll be instantly happy for a day, maybe two days."
"What does high meat do, Why eat high meat","I've got people who only do high meat, only do high eggs."
"What does high meat do, Why eat high meat",A: Only way you can do is feed the nervous system properly and that’s by eating high meat if you don’t digest properly in the colon.
"What does high meat do, Why eat high meat",I have several people that only eat high meat and won’t eat fresh meat.
"What does high meat do, Why eat high meat",You have to try the high meat just one time to get out of this depression so you can stay on the diet.
"What does high meat do, Why eat high meat",That’s why you can eat high meat and high eggs and be giggling in 10-20 minutes; the bacteria is already broken down into those finite molecules.
"What does high meat do, Why eat high meat","I started doing high meat and was wondering how often I should do it, I tried it a couple days ago."
"What does high meat do, Why eat high meat","That's why when people eat the high meat, they get silly."
"What does high meat do, Why eat high meat",That's why I advocated in my book eating high meat for anybody who has psychological problems.
